isolate_filteredΩNODE_3_length_404174_cov_100.322816_161	UniRef100_A0A1S2AQT1~K01361	97.9	1902	39	0	1	1902	1	1902	0.0	3419
careful_filteredΩNODE_3_length_403891_cov_108.585722_223	UniRef100_A0A1S2AQT1~K01361	97.9	1902	39	0	1	1902	1	1902	0.0	3419
isolate_filteredΩNODE_1_length_651596_cov_106.573662_599	UniRef100_C2F9R4~K00265	99.9	1485	2	0	1	1485	1	1485	0.0	2952
careful_filteredΩNODE_1_length_651721_cov_115.299404_599	UniRef100_C2F9R4~K00265	99.9	1485	2	0	1	1485	1	1485	0.0	2952
isolate_filteredΩNODE_2_length_515833_cov_101.187436_294	UniRef100_Q038M0~K03763	99.8	1444	3	0	1	1444	1	1444	0.0	2848
careful_filteredΩNODE_2_length_515833_cov_109.458385_294	UniRef100_Q038M0~K03763	99.8	1444	3	0	1	1444	1	1444	0.0	2848
isolate_filteredΩNODE_2_length_515833_cov_101.187436_175	UniRef100_K6S1Q6~K16898	99.8	1234	2	0	1	1234	1	1234	0.0	2371
careful_filteredΩNODE_2_length_515833_cov_109.458385_175	UniRef100_K6S1Q6~K16898	99.8	1234	2	0	1	1234	1	1234	0.0	2371
isolate_filteredΩNODE_3_length_404174_cov_100.322816_379	UniRef100_Q034X1~K03046	100	1220	0	0	1	1220	1	1220	0.0	2395
careful_filteredΩNODE_3_length_403891_cov_108.585722_5	UniRef100_Q034X1~K03046	100	1220	0	0	1	1220	1	1220	0.0	2395
isolate_filteredΩNODE_3_length_404174_cov_100.322816_380	UniRef100_A0A125UBJ9~K03043	100	1194	0	0	1	1194	1	1194	0.0	2352
careful_filteredΩNODE_3_length_403891_cov_108.585722_4	UniRef100_A0A125UBJ9~K03043	100	1194	0	0	1	1194	1	1194	0.0	2352
isolate_filteredΩNODE_2_length_515833_cov_101.187436_381	UniRef100_K0N5H9~K03529	99.4	1184	7	0	1	1184	14	1197	0.0	2076
careful_filteredΩNODE_2_length_515833_cov_109.458385_381	UniRef100_K0N5H9~K03529	99.4	1184	7	0	1	1184	14	1197	0.0	2076
isolate_filteredΩNODE_2_length_515833_cov_101.187436_176	UniRef100_A0A0C9PXQ6~K16899	99.7	1179	3	0	1	1179	1	1179	0.0	2309
careful_filteredΩNODE_2_length_515833_cov_109.458385_176	UniRef100_A0A0C9PXQ6~K16899	99.7	1179	3	0	1	1179	1	1179	0.0	2309
